属性名,值类型,说明
name,字符串,声音的ID，全局唯一。
src,字符串,声音文件的路径。支持 OGG 和 WAV 文件。
loop,数字,循环次数，-1为无限循环。不建议在此设置。
loop_begin,数字,循环开始位置，以秒为单位。不建议在此设置。
control,字符串,"控制，可以是‘Play’, ‘Stop’, ‘Pause’。不建议在此设置。"
