属性名,值类型,说明
name,字符串,屏幕的ID，应用中只允许存在一个该ID的屏幕。
pop_up,布尔值,屏幕是否为弹窗，若为弹窗，则其后面的屏幕将被绘制，否则不绘制其后面的屏幕。
