属性名,值类型,说明
speed,数字,文字显示速度。每秒显示字数。
next_line_src,字符串,换行标记图片路径。若设置后面的row变量等则为精灵动画。
next_line_row,数字,换行标记动画行数。
next_line_col,数字,换行标记动画列数。
next_line_fps,数字,换行标记动画帧率。
next_page_src,字符串,换页标记图片路径。若设置后面的row变量等则为精灵动画。
next_page_row,数字,换页标记动画行数。
next_page_col,数字,换页标记动画列数。
next_page_fps,数字,换页标记动画帧率。
