属性名,值类型,说明
name,字符串,文字框的ID，同一个屏幕中只允许存在一个该ID的组件。
padding,数字,文字部分离文字框边框的宽度，以像素为单位。
line_space,数字,行与行之间的间隙，为文字高度的百分比。
word_space,数字,同一行中文字与文字之间的间隙，为文字高度的百分比。
font,字符串,默认字体的ID，字体的创建方法见下文。
color,数字,默认字体颜色，4通道十六进制数表示。
content,字符串,设置文字框显示内容。（使用默认字体以及颜色）
