属性名,值类型,说明
target,字符串,叠加目标图像的ID。
src,字符串,叠加图片的文件路径，包括后缀。
row,数字,叠加图片的精灵动画行数。仅当src属性有值时有效。
col,数字,叠加图片的精灵动画列数。仅当src属性有值时有效。
fps,数字,叠加图片的精灵动画帧率。仅当src属性有值时有效。
layer,数字,叠加图片所在层数，层数从0-255，层数越高，叠加图片越靠近顶端。同一层只允许存在一张叠加图片。
mix_mode,字符串,叠加图片的叠加模式，目前可以使用以下自带模式，如果您熟悉Photoshop，那么您应该熟知他们的意义：<ul><li>'Mask'</li><li>'ColorBurn'</li><li>'ColorDodge'</li><li>'Darken'</li><li>'Difference'</li><li>'Exclusion'</li>    <li>'Hard'</li> <li>'HardLight'</li>    <li>'Lighten'</li>  <li>'LinearBurn'</li><li>'LinearDodge'</li><li>'LinearLight'</li><li>'Multiply'</li><li>'Normal'</li>       <li>'Overlay'</li><li>'PinLight'</li><li>'Screen'</li>   <li>'SoftLight'</li>    <li>'VividLight'</li></ul>或者输入MixMode文件的完整路径，MixMode文件的写法不在本节讨论范围内。
