属性名,值类型,说明
control,字符串,"控制，可以是'Play', 'Stop', 'Pause'。"
loop,数字,循环次数，-1为无限循环。
loop_begin,数字,循环开始位置，以秒为单位。
mute,布尔值,是否静音。
name,字符串,音轨的ID，全局唯一。
sound,字符串,声音对象的ID。
src,字符串,声音文件的路径。支持 OGG 和 WAV 文件。sound 和 src 只取其中一个。
volume,数字,音轨音量，0 - 1 的浮点数。
