属性名,值类型,说明
name,字符串,视频的ID，全局唯一。
src,字符串,视频文件的路径。支持 AVI、MPG、MP4、MOV 等视频文件。
loop,数字,循环次数，-1为无限循环。不建议在此设置。
flip,字符串,只支持'Vertical'，垂直翻转。
control,布尔值,"控制，可以是'Play', 'Stop', 'Pause'。"
