属性名,值类型,说明
display,布尔值,是否显示帧率。
position,字符串,帧率显示位置，只能是以下之一：<ul><li>'LeftTop'</li><li>'RightTop'</li><li>'LeftBottom'</li><li>'RightBottom'</li></ul>
