属性名,值类型,说明
file,字符串,必须参数，文件的完成路径，包括文件名及其后缀，如“script/script_file.ks”。
inherit,布尔值,是否从父脚本中继承变量信息。默认为false。
rewrite,布尔值,是否将目标脚本的变量信息重写到父脚本。默认为false。
