属性名,值类型,说明
name,字符串,图像的ID，整个程序有且只有一个该ID的图像。
src,字符串,基图像的文件路径，包括后缀。
row,数字,精灵动画行数。仅当src属性有值时有效。
col,数字,精灵动画列数。仅当src属性有值时有效。
fps,数字,精灵动画帧率。仅当src属性有值时有效。
video,字符串,视频的ID。视频的定义方法在下一节。
particle_system,字符串,粒子系统的ID。粒子系统的定义方法在下一节。
