属性名,值类型,说明
mode,字符串,跳过模式：<ul><li>'Auto'-自动跳过</li><li>'All'-跳过所有</li><li>'Read'-跳过已读</li></ul>
auto_time,数字,自动跳过的等待时间（秒）。
set_on,布尔值,是否开启跳过模式
