属性名,值类型,说明
name,字符串,字体的ID，程序中只允许存在一个该ID的字体。
size,数字,文字大小。
font,字符串,字体名称（不是字体文件名）。
weight,数字,字体粗细，可以是 0 - 9 间的数值，或者对应的粗细描述字符串：<ul><li>0：'DontCare'</li><li>1：'Thin'</li><li>2：'ExtraLight' / 'UltraLight'</li><li>3：'Light'</li><li>4：'Normal' / 'Regular'</li><li>5：'Medium'</li><li>6：'SemiBold' / 'DemiBold'</li><li>7：'Bold'</li><li>8：'ExtraBold' / 'UltraBold'</li><li>9：'Heavy' / 'Black'</li></ul>
italic,布尔值,是否为斜体字。
