属性名,值类型,说明
component,字符串,需要添加特效的组件名，若不设置则为上一个操作的组件。
effect,字符串,需要使用的特效，可以为以下值或自定义特效文件：<ul><li>'Mask'（遮片）</li><li>'Gauss'（高斯模糊）</li><li>'Gray'（灰度）</li>	<li>'Mosaic'（马赛克）</li><li>'MosaicAll'（马赛克）</li><li>'Posure'</li><li>'Relievo'（浮雕）</li><li>'Average'（均衡）</li><li>'Laplace'（锐化）</li><li>'Pencil'（铅笔画）</li><li>'TextGlow'（文字外扩）</li><li>'TextStroke'（文字描边）</li><li>'TextShadow'（文字阴影）</li></ul>
time,数字,特效变化时间，以秒为单位的浮点数。
can_skip,布尔值,是否可以跳过。
effect_tex,字符串,参与特效的图片路径。
level,数字,特效级别。
replay,字符串,回放速度类型：<ul><li>'SlowIn'/'FastOut'</li><li>'SlowOut'/'FastIn'</li><li>'SlowInOut'</li><li>'FastInOut'</li><li>'Normal'</li></ul>
