名称,类型,必须,默认值,描述
id,字符串,是,无,屏幕的ID，应用中只允许存在一个该ID的屏幕。
popUp,布尔值,否,false,屏幕是否为弹窗，若为弹窗，则其后面的屏幕将被绘制，否则不绘制其后面的屏幕。
backgroundColor,十六进制数,否,0x00000000,屏幕的背景色。
