名称,类型,必须,默认值,描述
text,字符串,是,无,需要添加的文字。
font,字体对象,否,文字框默认,添加文字的字体。
color,数字,否,文字框默认,添加文字的字体颜色，4通道十六进制数表示。
effectFront,特效对象,否,文字框默认,文字前景特效。
effectBack,特效对象,否,文字框默认,文字背景特效。
