名称,类型,只读,描述
paddingTop,数字,否,文字部分离文字框边框顶部的距离，以像素为单位。
paddingRight,数字,否,文字部分离文字框边框右边的距离，以像素为单位。
paddingBottom,数字,否,文字部分离文字框边框底部的距离，以像素为单位。
paddingLeft,数字,否,文字部分离文字框边框左边的距离，以像素为单位。
lineSpace,数字,否,行与行之间的间隙，为文字高度的百分比。
letterSpace,数字,否,同一行中文字与文字之间的间隙，为文字高度的百分比。
font,字体对象,否,字体对象的格式见下文。
color,数字,否,默认字体颜色，4通道十六进制数表示。
text,字符串,否,设置文字框显示内容。
autoHeight,布尔值,否,是否根据文字长度改变文字框高度。
textEffectFront,特效对象,否,文字前景特效。
textEffectBack,特效对象,否,文字背景特效。
