名称,类型,只读,描述
mute,布尔值,否,是否静音。
volume,数字,否,音量，0-1。
loop,数字,否,循环次数，若为-1则无限循环，0则只播放一次。
src,字符串,否,音频文件相对路径，仅支持ogg和wav文件。
