名称,类型,只读,描述
id,字符串,否,获取或是设置屏幕的ID，应用中只允许存在一个该ID的屏幕。
popUp,布尔值,否,获取或设置屏幕是否为弹窗，若为弹窗，则其后面的屏幕将被绘制，否则不绘制其后面的屏幕。
backgroundColor,十六进制数,否,读取或设置屏幕的背景色。
root,组件对象,是,获取组件树的根节点。
